steam_appid,nome,data_de_lancamento,plataforma,generos,avaliacoes_positivas,avaliacoes_negativas,media_tempo_jogado,preco
214910,"Air Conflicts: Pacific Carriers",2012-09-21,windows;mac,Action;Simulation,181,208,0,7.19
214950,"Total Warâ„¢: ROME II - Emperor Edition",2013-09-02,windows;mac,Strategy,31864,13423,5760,29.99
215550,"Zombie Playgroundâ„¢",2016-10-31,windows;mac,Violent;Gore;Action;Adventure;Indie;RPG,155,168,5,6.99
215670,Home,2012-08-31,windows;mac,Adventure;Indie,1069,518,21,1.99
215790,"Dream Pinball 3D",2012-09-19,windows;mac,Casual;Simulation,164,379,273,4.99
216110,"Tiny Troopers",2012-08-24,windows;mac,Action;Indie;Strategy,719,183,35,3.99
216130,"Gemini Wars",2012-11-02,windows;mac,Indie;Strategy,30,103,0,10.99
218040,"Democracy 2",2012-10-11,windows;mac,Indie;Simulation;Strategy,50,47,0,14.99
218510,"Planets Under Attack",2012-09-27,windows;mac,Indie;Strategy,492,191,299,6.99
218740,Pid,2012-10-31,windows;mac,Adventure;Indie,2021,370,61,6.99
219070,"Miner Wars Arena",2012-08-28,windows;mac,Action;Indie,10,13,0,3.99
219340,"The Banner Saga: Factions",2013-02-25,windows;mac,"Free to Play;Indie;RPG;Strategy",569,202,95245,0
220260,"Farming Simulator 2013 Titanium Edition",2013-10-09,windows;mac,Casual;Simulation,3962,381,705,11.39
220420,"Nancy DrewÂ®: The Deadly Device",2012-10-23,windows;mac,Adventure,10,2,0,15.49
220780,"Thomas Was Alone",2012-11-12,windows;mac,Indie,7456,438,72,5.99
220860,McPixel,2012-09-25,windows;mac,Action;Adventure;Indie,3000,581,136,2.99
221020,Towns,2012-11-07,windows;mac,Indie;RPG;Simulation;Strategy,632,1878,2365,9.99
221680,"RocksmithÂ® 2014 Edition - Remastered",2016-10-04,windows;mac,Casual;Simulation,8228,789,6704,25.99
224740,"Clockwork Empires",2016-10-26,windows;mac,Indie;Simulation;Strategy,348,426,470,22.99
226820,"Nancy DrewÂ®: Ghost of Thornton Hall",2013-05-14,windows;mac,Adventure,58,4,1642,15.49
227560,"Scourge: Outbreak",2014-04-02,windows;mac,Action;Indie,321,166,289,5.59
229600,"BientÃ´t l'Ã©tÃ©",2013-02-06,windows;mac,Casual;Indie;Simulation,115,141,0,6.99
230050,"DLC Quest",2013-03-18,windows;mac,Indie,5434,718,126,1.99
230150,Incredipede,2013-03-18,windows;mac,Adventure;Indie;Simulation,228,93,0,6.99
230820,"The Night of the Rabbit",2013-05-28,windows;mac,Adventure;Indie,1700,179,96,16.99
230980,"Starseed Pilgrim",2013-04-16,windows;mac,Adventure;Indie,256,192,62,4.49
232010,"Euro Truck Simulator",2013-03-08,windows;mac,Indie;Simulation,3772,973,315,3.99
232950,"Bridge Project",2013-03-28,windows;mac,Simulation,333,338,2,15.99
233110,"Defense Technica",2013-10-24,windows;mac,Indie;Strategy,57,95,0,11.99
233310,"Avadon 2: The Corruption",2013-10-30,windows;mac,Indie;RPG;Strategy,111,22,4,6.99
233410,"Tomb Raider - The Final Hours Digital Book",2013-03-07,windows;mac,Action,94,11,0,1.59
233470,Evoland,2013-04-04,windows;mac,Adventure;Indie;RPG,4437,906,237,6.99
234490,"Rush Bros.",2013-05-24,windows;mac,Action;Indie;Racing,553,341,63,7.19
234900,Anodyne,2013-03-22,windows;mac,Action;Adventure;Indie,856,154,128,6.99
235070,"Bad Bots",2013-05-17,windows;mac,Action;Indie,139,106,83,3.99
235250,"Super Sanctum TD",2013-05-09,windows;mac,Casual;Indie;Strategy,1271,169,121,3.99
235360,"Prime World: Defenders",2013-06-05,windows;mac,Casual;Indie;RPG;Strategy,673,213,739,6.99
235380,"Blitzkrieg 3",2017-06-02,windows;mac,Strategy,2714,1890,221,7.19
235720,Cubetractor,2013-05-29,windows;mac,Action;Indie;Strategy,327,103,36,3.99
236690,"Blood Bowl 2",2015-09-22,windows;mac,Sports;Strategy,2734,1085,1433,14.99
237760,Intake,2013-11-06,windows;mac,Action;Indie,349,26,75,6.99
237990,"The Banner Saga",2014-01-14,windows;mac,Indie;RPG;Strategy,9750,1131,164,18.74
238010,"Deus Ex: Human Revolution - Director's Cut",2013-10-25,windows;mac,Action;RPG,13044,1233,947,12.99
238050,"The Apogee Throwback Pack",2013-07-01,windows;mac,Action,198,20,37,6.99
238210,"System Shock 2",2013-05-10,windows;mac,Action;RPG,4227,274,256,6.99
238260,"Pinball Arcade",2013-11-04,windows;mac,"Free to Play;Simulation",2175,812,6,0
238530,"Super Puzzle Platformer Deluxe",2013-05-24,windows;mac,Action;Casual;Indie,367,33,0,5.59
238750,"Might & Magic X - Legacy",2014-01-23,windows;mac,RPG,1571,780,274,20.99
238930,"7 Grand Steps: What Ancients Begat",2013-06-07,windows;mac,Casual;Indie;Simulation;Strategy,356,299,178,14.99
239090,"Samurai Gunn",2013-12-10,windows;mac,Action,337,21,0,11.99
239160,Thief,2014-02-27,windows;mac,Action;Adventure,10486,4326,276,19.99
242780,"Cognition: An Erica Reed Thriller",2013-09-19,windows;mac,Adventure;Indie,503,101,111,10.99
243200,Memoria,2013-08-29,windows;mac,Adventure;Indie,1352,136,168,26.99
243220,"FRACT OSC",2014-04-22,windows;mac,Indie,448,72,0,10.99
243280,PoÃ¶f,2013-11-08,windows;mac,Action;Indie;Strategy,155,42,217,4.99
244160,"Homeworld Remastered Collection",2015-02-25,windows;mac,Simulation;Strategy,5377,827,353,26.99
244430,"realMyst: Masterpiece Edition",2014-02-05,windows;mac,Adventure;Indie,521,102,0,12.99
244710,Shelter,2013-08-28,windows;mac,Adventure;Indie,2774,479,77,6.99
244950,"Where is my Heart?",2014-05-29,windows;mac,Adventure;Casual;Indie,123,33,0,5.59
245450,"Wizardry 8",2013-09-10,windows;mac,Adventure;RPG,460,41,0,6.99
246720,"Wayward Manor",2014-07-15,windows;mac,Adventure;Casual;Indie,29,50,0,4.99
246740,"Huntsman: The Orphanage (Halloween Edition)",2013-09-13,windows;mac,Action;Adventure;Indie,66,159,3,6.19
246900,"Viscera Cleanup Detail",2015-10-23,windows;mac,Indie;Simulation,6753,580,589,9.99
247000,"Talisman: Digital Edition",2014-02-25,windows;mac,Indie;RPG;Strategy,2975,986,332,5.19
247870,Redshirt,2013-11-13,windows;mac,Indie;RPG;Simulation;Strategy,152,221,281,6.99
248270,Songs2See,2013-11-26,windows;mac,Casual;Indie;Simulation,39,37,0,9.99
248330,"Dino Run DX",2015-09-29,windows;mac,Action;Indie;Racing,590,49,0,4.79
248390,"Craft The World",2014-11-24,windows;mac,Indie;RPG;Simulation;Strategy,6946,984,1891,13.99
249050,"Dungeon of the Endlessâ„¢",2014-10-27,windows;mac,Adventure;Indie;RPG;Strategy,7423,1046,648,8.99
249130,"LEGOÂ® Marvelâ„¢ Super Heroes",2013-11-15,windows;mac,Action;Adventure,8797,691,4034,14.99
249190,"Ancient Space",2014-09-23,windows;mac,Strategy,136,168,0,14.99
250320,"The Wolf Among Us",2013-10-11,windows;mac,Adventure,21127,517,675,11.99
250340,Blockland,2013-12-16,windows;mac,Action;Indie;Simulation,3706,1444,625,7.19
250540,C-Wars,2015-08-13,windows;mac,"Action;Indie;RPG;Strategy;Early Access",46,44,0,9.99
251450,"Heroes of Havoc: Idle Adventures",2016-12-15,windows;mac,"Free to Play;RPG",76,114,0,0
251730,"Legend of Grimrock 2",2014-10-15,windows;mac,Adventure;Indie;RPG,2075,215,951,17.99
251770,"Shadow Man",2013-10-18,windows;mac,Action,409,55,48,3.99
251830,"Stick it to The Man!",2013-12-13,windows;mac,Action;Adventure;Indie,546,27,0,5.99
251850,"Master Reboot",2013-10-29,windows;mac,Action;Adventure;Indie,465,150,173,11.99
251950,"WWII Online",2017-09-05,windows;mac,"Action;Free to Play;Indie;Massively Multiplayer;RPG;Simulation;Strategy;Early Access",905,1300,10,0
252030,"Valdis Story: Abyssal City",2013-10-30,windows;mac,Action;Indie;RPG,1934,345,1234,10.99
252090,"Lacuna Passage",2017-05-17,windows;mac,"Indie;Simulation;Early Access",63,16,0,11.39
252130,"Divide By Sheep",2015-07-02,windows;mac,Adventure;Casual;Indie,713,49,140,3.99
252330,"Slender: The Arrival",2013-10-28,windows;mac,Action;Adventure;Indie,4468,578,46,6.99
252430,"Dusty Revenge:Co-Op Edition",2014-02-17,windows;mac,Action;Indie,70,100,0,10.99
252490,Rust,2018-02-08,windows;mac,"Action;Adventure;Indie;Massively Multiplayer;RPG",220370,53709,9352,27.79
252550,"Qbeh-1: The Atlas Cube",2014-05-15,windows;mac,Adventure;Casual;Indie,515,67,0,7.19
252570,"Depths of Fear :: Knossos",2014-04-24,windows;mac,Action;Adventure;Indie,258,140,0,4.79
252690,"Fantasy Grounds",2014-05-09,windows;mac,Indie;RPG;Strategy,377,100,43074,29.99
252710,"The Last Express Gold Edition",2013-11-21,windows;mac,Adventure,164,36,1,4.99
252830,Claire,2014-07-07,windows;mac,Action;Adventure;Indie,217,94,0,6.99
253230,"A Hat in Time",2017-10-05,windows;mac,Adventure;Indie,14019,292,377,22.99
253250,Stonehearth,2018-07-25,windows;mac,Indie;Simulation;Strategy,5242,1719,644,15.49
253860,"Earth 2140",2013-11-15,windows;mac,Strategy,110,87,255,3.99
253880,"Earth 2150 Trilogy",2013-11-01,windows;mac,Strategy,320,117,342,4.99
254060,KnightShift,2013-09-27,windows;mac,RPG;Strategy,467,316,254,4.99
254080,"World War III: Black Gold",2013-09-27,windows;mac,Strategy,247,196,290,3.99
255940,"The 11th Hour",2013-10-18,windows;mac,Adventure,63,74,1,4.79
257030,"Project Nimbus",2017-09-26,windows;mac,Action;Indie,888,127,187,15.49
257170,"Rebuild 3: Gangs of Deadsville",2015-05-29,windows;mac,Indie;Simulation;Strategy,928,163,6704,10.99
257630,"Blast Em!",2014-01-22,windows;mac,Action;Indie,134,152,0,0.79
257730,"Infinity Wars: Animated Trading Card Game",2014-09-05,windows;mac,"Free to Play;Indie;Massively Multiplayer;Strategy",2619,690,153,0
258070,"Probability 0",2014-06-12,windows;mac,Action;Indie,40,11,0,4.99
259340,"Chicken Shoot Gold",2003-11-01,windows;mac,Action;Casual;Indie,139,108,326,4.99
259410,"Sneaky Sneaky",2014-11-12,windows;mac,Adventure;Casual;Indie;RPG;Strategy,234,28,82,3.99
